MANAGEMENT_TYPE_USE,MANAGEMENT_STATUS_USE,JURISDICTION,JURISDICTIONAL_WATERS,FMP,SECTOR_USE,REGION,ZONE_USE,SPP_NAME,SECTOR_ID
VMS RELATED,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,GULF OF MEXICO,ALL,ALL,1
STATE RELATED,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,GULF OF MEXICO,ALL,ALL,2
INCIDENTAL CATCH LIMIT,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,GULF OF MEXICO,ALL,"SNAPPER, RED",3
INCIDENTAL CATCH LIMIT,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,GULF OF MEXICO,ALL,"SNAPPER, RED",4
STATE RELATED,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,GULF OF MEXICO,ALL,"GROUPER, GAG",5
STATE RELATED,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,GULF OF MEXICO,ALL,"GROUPER, GAG",6
STATE RELATED,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,GULF OF MEXICO,ALL,"SNAPPER, RED",7
STATE RELATED,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,GULF OF MEXICO,ALL,"SNAPPER, RED",8
STATE RELATED,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,GULF OF MEXICO,ALL,"AMBERJACK, GREATER",9
STATE RELATED,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,GULF OF MEXICO,ALL,"AMBERJACK, GREATER",10
STATE RELATED,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,GULF OF MEXICO,ALL,"TRIGGERFISH, GRAY",11
STATE RELATED,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,GULF OF MEXICO,ALL,"TRIGGERFISH, GRAY",12
